Name,Core Voltage,ALMs,Total I/Os,GPIOs,GXB Channel PMA,GXB Channel PCS,PCIe Hard IP Blocks,Memory Controllers,Memory Bits,DSP Blocks,Fractional PLLs,DLLs,Global Clocks,HPS CPU Cores
5CGTFD9E5F35C7,1.1V,113560,616,560,12,12,2,2,12492800,342,8,4,16,0
5CGTFD9E5F31I7,1.1V,113560,536,480,12,12,2,2,12492800,342,8,4,16,0
5CGTFD9E5F31C7,1.1V,113560,536,480,12,12,2,2,12492800,342,8,4,16,0
5CGTFD9D5F27I7,1.1V,113560,378,336,9,9,2,2,12492800,342,8,4,16,0
5CGTFD9D5F27C7,1.1V,113560,378,336,9,9,2,2,12492800,342,8,4,16,0
5CGTFD9C5F23I7,1.1V,113560,252,224,6,6,1,2,12492800,342,8,4,16,0
5CGTFD9C5F23C7,1.1V,113560,252,224,6,6,1,2,12492800,342,8,4,16,0
5CGTFD9A5U19I7,1.1V,113560,264,240,5,5,1,2,12492800,342,8,4,16,0
5CGTFD9A5U19C7,1.1V,113560,264,240,5,5,1,2,12492800,342,8,4,16,0
5CGTFD9A5U19A7,1.1V,113560,264,240,5,5,1,2,12492800,342,8,4,16,0
5CGTFD7D5F31I7,1.1V,56480,522,480,9,9,2,2,7024640,156,7,4,16,0
5CGTFD7D5F31C7,1.1V,56480,522,480,9,9,2,2,7024640,156,7,4,16,0
5CGTFD7D5F27I7,1.1V,56480,378,336,9,9,2,2,7024640,156,7,4,16,0
5CGTFD7D5F27C7,1.1V,56480,378,336,9,9,2,2,7024640,156,7,4,16,0
5CGTFD7C5U19I7,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGTFD7C5U19C7,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGTFD7C5U19A7,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGTFD7C5F23I7,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGTFD7C5F23C7,1.1V,56480,268,240,6,6,1,2,7024640,156,7,4,16,0
5CGTFD7B5M15I7,1.1V,56480,256,240,3,3,1,2,7024640,156,7,4,16,0
5CGTFD7B5M15C7,1.1V,56480,256,240,3,3,1,2,7024640,156,7,4,16,0
5CGTFD5F5M11I7,1.1V,29080,149,129,4,4,1,0,4567040,150,6,4,16,0
5CGTFD5F5M11C7,1.1V,29080,149,129,4,4,1,0,4567040,150,6,4,16,0
5CGTFD5C5U19I7,1.1V,29080,252,224,6,6,2,2,4567040,150,6,4,16,0
5CGTFD5C5U19C7,1.1V,29080,252,224,6,6,2,2,4567040,150,6,4,16,0
5CGTFD5C5U19A7,1.1V,29080,252,224,6,6,2,2,4567040,150,6,4,16,0
5CGTFD5C5M13I7,1.1V,29080,203,175,6,6,2,1,4567040,150,6,4,16,0
5CGTFD5C5M13C7,1.1V,29080,203,175,6,6,2,1,4567040,150,6,4,16,0
5CGTFD5C5F27I7,1.1V,29080,364,336,6,6,2,2,4567040,150,6,4,16,0
5CGTFD5C5F27C7,1.1V,29080,364,336,6,6,2,2,4567040,150,6,4,16,0
5CGTFD5C5F23I7,1.1V,29080,268,240,6,6,2,2,4567040,150,6,4,16,0
5CGTFD5C5F23C7,1.1V,29080,268,240,6,6,2,2,4567040,150,6,4,16,0
5CEFA9U19I7,1.1V,113560,240,240,0,0,0,2,12492800,342,8,4,16,0
5CEFA9U19C8,1.1V,113560,240,240,0,0,0,2,12492800,342,8,4,16,0
5CEFA9U19C7,1.1V,113560,240,240,0,0,0,2,12492800,342,8,4,16,0
5CEFA9U19A7,1.1V,113560,240,240,0,0,0,2,12492800,342,8,4,16,0
5CEFA9F31I7,1.1V,113560,480,480,0,0,0,2,12492800,342,8,4,16,0
5CEFA9F31C8,1.1V,113560,480,480,0,0,0,2,12492800,342,8,4,16,0
5CEFA9F31C7,1.1V,113560,480,480,0,0,0,2,12492800,342,8,4,16,0
5CEFA9F27I7,1.1V,113560,336,336,0,0,0,2,12492800,342,8,4,16,0
5CEFA9F27C8,1.1V,113560,336,336,0,0,0,2,12492800,342,8,4,16,0
5CEFA9F27C7,1.1V,113560,336,336,0,0,0,2,12492800,342,8,4,16,0
5CEFA9F23I7,1.1V,113560,224,224,0,0,0,2,12492800,342,8,4,16,0
5CEFA9F23C8,1.1V,113560,224,224,0,0,0,2,12492800,342,8,4,16,0
5CEFA9F23C7,1.1V,113560,224,224,0,0,0,2,12492800,342,8,4,16,0
5CEFA7U19I7,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7U19C8,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7U19C7,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7U19C6,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7U19A7,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7M15I7,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7M15C8,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7M15C7,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7M15C6,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F31I7ES,1.1V,56480,480,480,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F31I7,1.1V,56480,480,480,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F31C8,1.1V,56480,480,480,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F31C7,1.1V,56480,480,480,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F31C6,1.1V,56480,480,480,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F27I7,1.1V,56480,336,336,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F27C8,1.1V,56480,336,336,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F27C7,1.1V,56480,336,336,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F27C6,1.1V,56480,336,336,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F23I7,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F23C8,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F23C7,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA7F23C6,1.1V,56480,240,240,0,0,0,2,7024640,156,7,4,16,0
5CEFA5U19I7,1.1V,29080,224,224,0,0,0,2,4567040,150,6,4,16,0
5CEFA5U19C8,1.1V,29080,224,224,0,0,0,2,4567040,150,6,4,16,0
5CEFA5U19C7,1.1V,29080,224,224,0,0,0,2,4567040,150,6,4,16,0
5CEFA5U19C6,1.1V,29080,224,224,0,0,0,2,4567040,150,6,4,16,0
5CEFA5U19A7,1.1V,29080,224,224,0,0,0,2,4567040,150,6,4,16,0
5CEFA5M13I7,1.1V,29080,175,175,0,0,0,1,4567040,150,6,4,16,0
5CEFA5M13C8,1.1V,29080,175,175,0,0,0,1,4567040,150,6,4,16,0
5CEFA5M13C7,1.1V,29080,175,175,0,0,0,1,4567040,150,6,4,16,0
5CEFA5M13C6,1.1V,29080,175,175,0,0,0,1,4567040,150,6,4,16,0
5CEFA5F23I7,1.1V,29080,240,240,0,0,0,2,4567040,150,6,4,16,0
5CEFA5F23C8,1.1V,29080,240,240,0,0,0,2,4567040,150,6,4,16,0
5CEFA5F23C7,1.1V,29080,240,240,0,0,0,2,4567040,150,6,4,16,0
5CEFA5F23C6,1.1V,29080,240,240,0,0,0,2,4567040,150,6,4,16,0
5CEFA4U19I7,1.1V,18480,224,224,0,0,0,1,3153920,66,4,4,16,0
5CEFA4U19C8,1.1V,18480,224,224,0,0,0,1,3153920,66,4,4,16,0
5CEFA4U19C7,1.1V,18480,224,224,0,0,0,1,3153920,66,4,4,16,0
5CEFA4U19C6,1.1V,18480,224,224,0,0,0,1,3153920,66,4,4,16,0
5CEFA4U19A7,1.1V,18480,224,224,0,0,0,1,3153920,66,4,4,16,0
5CEFA4M13I7,1.1V,18480,223,223,0,0,0,1,3153920,66,4,4,16,0
5CEFA4M13C8,1.1V,18480,223,223,0,0,0,1,3153920,66,4,4,16,0
5CEFA4M13C7,1.1V,18480,223,223,0,0,0,1,3153920,66,4,4,16,0
5CEFA4M13C6,1.1V,18480,223,223,0,0,0,1,3153920,66,4,4,16,0
5CEFA4F23I7,1.1V,18480,224,224,0,0,0,1,3153920,66,4,4,16,0
5CEFA4F23C8,1.1V,18480,224,224,0,0,0,1,3153920,66,4,4,16,0
5CEFA4F23C7,1.1V,18480,224,224,0,0,0,1,3153920,66,4,4,16,0
5CEFA4F23C6,1.1V,18480,224,224,0,0,0,1,3153920,66,4,4,16,0
5CEFA2U19I7,1.1V,9430,224,224,0,0,0,1,1802240,25,4,4,16,0
5CEFA2U19C8,1.1V,9430,224,224,0,0,0,1,1802240,25,4,4,16,0
5CEFA2U19C7,1.1V,9430,224,224,0,0,0,1,1802240,25,4,4,16,0
5CEFA2U19C6,1.1V,9430,224,224,0,0,0,1,1802240,25,4,4,16,0
5CEFA2U19A7,1.1V,9430,224,224,0,0,0,1,1802240,25,4,4,16,0
5CEFA2M13I7,1.1V,9430,223,223,0,0,0,1,1802240,25,4,4,16,0
5CEFA2M13C8,1.1V,9430,223,223,0,0,0,1,1802240,25,4,4,16,0
5CEFA2M13C7,1.1V,9430,223,223,0,0,0,1,1802240,25,4,4,16,0
5CEFA2M13C6,1.1V,9430,223,223,0,0,0,1,1802240,25,4,4,16,0
5CEFA2F23I7,1.1V,9430,224,224,0,0,0,1,1802240,25,4,4,16,0
5CEFA2F23C8,1.1V,9430,224,224,0,0,0,1,1802240,25,4,4,16,0
5CEFA2F23C7,1.1V,9430,224,224,0,0,0,1,1802240,25,4,4,16,0
5CEFA2F23C6,1.1V,9430,224,224,0,0,0,1,1802240,25,4,4,16,0
5CEBA9U19C8,1.1V,113560,240,240,0,0,0,0,12492800,342,8,4,16,0
5CEBA9U19C7,1.1V,113560,240,240,0,0,0,0,12492800,342,8,4,16,0
5CEBA9F31C8,1.1V,113560,480,480,0,0,0,0,12492800,342,8,4,16,0
5CEBA9F31C7,1.1V,113560,480,480,0,0,0,0,12492800,342,8,4,16,0
5CEBA9F27C8,1.1V,113560,336,336,0,0,0,0,12492800,342,8,4,16,0
5CEBA9F27C7,1.1V,113560,336,336,0,0,0,0,12492800,342,8,4,16,0
5CEBA9F23C8,1.1V,113560,224,224,0,0,0,0,12492800,342,8,4,16,0
5CEBA9F23C7,1.1V,113560,224,224,0,0,0,0,12492800,342,8,4,16,0
5CEBA7U19C8,1.1V,56480,240,240,0,0,0,0,7024640,156,7,4,16,0
5CEBA7U19C7,1.1V,56480,240,240,0,0,0,0,7024640,156,7,4,16,0
5CEBA7M15C8,1.1V,56480,240,240,0,0,0,0,7024640,156,7,4,16,0
5CEBA7M15C7,1.1V,56480,240,240,0,0,0,0,7024640,156,7,4,16,0
5CEBA7F31C8,1.1V,56480,480,480,0,0,0,0,7024640,156,7,4,16,0
5CEBA7F31C7,1.1V,56480,480,480,0,0,0,0,7024640,156,7,4,16,0
5CEBA7F27C8,1.1V,56480,336,336,0,0,0,0,7024640,156,7,4,16,0
5CEBA7F27C7,1.1V,56480,336,336,0,0,0,0,7024640,156,7,4,16,0
5CEBA7F23C8,1.1V,56480,240,240,0,0,0,0,7024640,156,7,4,16,0
5CEBA7F23C7,1.1V,56480,240,240,0,0,0,0,7024640,156,7,4,16,0
5CEBA5U19C8,1.1V,29080,224,224,0,0,0,0,4567040,150,6,4,16,0
5CEBA5U19C7,1.1V,29080,224,224,0,0,0,0,4567040,150,6,4,16,0
5CEBA5F23C8,1.1V,29080,240,240,0,0,0,0,4567040,150,6,4,16,0
5CEBA5F23C7,1.1V,29080,240,240,0,0,0,0,4567040,150,6,4,16,0
5CEBA4U19C8,1.1V,18480,224,224,0,0,0,0,3153920,66,4,4,16,0
5CEBA4U19C7,1.1V,18480,224,224,0,0,0,0,3153920,66,4,4,16,0
5CEBA4U15I7,1.1V,18480,176,176,0,0,0,0,3153920,66,4,4,16,0
5CEBA4U15C8,1.1V,18480,176,176,0,0,0,0,3153920,66,4,4,16,0
5CEBA4U15C7,1.1V,18480,176,176,0,0,0,0,3153920,66,4,4,16,0
5CEBA4U15C6,1.1V,18480,176,176,0,0,0,0,3153920,66,4,4,16,0
5CEBA4F23C8,1.1V,18480,224,224,0,0,0,0,3153920,66,4,4,16,0
5CEBA4F23C7,1.1V,18480,224,224,0,0,0,0,3153920,66,4,4,16,0
5CEBA4F17I7,1.1V,18480,128,128,0,0,0,0,3153920,66,4,4,16,0
5CEBA4F17C8,1.1V,18480,128,128,0,0,0,0,3153920,66,4,4,16,0
5CEBA4F17C7,1.1V,18480,128,128,0,0,0,0,3153920,66,4,4,16,0
5CEBA4F17C6,1.1V,18480,128,128,0,0,0,0,3153920,66,4,4,16,0
5CEBA4F17A7,1.1V,18480,128,128,0,0,0,0,3153920,66,4,4,16,0
5CEBA2U19C8,1.1V,9430,224,224,0,0,0,0,1802240,25,4,4,16,0
5CEBA2U19C7,1.1V,9430,224,224,0,0,0,0,1802240,25,4,4,16,0
5CEBA2U15I7,1.1V,9430,176,176,0,0,0,0,1802240,25,4,4,16,0
5CEBA2U15C8,1.1V,9430,176,176,0,0,0,0,1802240,25,4,4,16,0
5CEBA2U15C7,1.1V,9430,176,176,0,0,0,0,1802240,25,4,4,16,0
5CEBA2U15C6,1.1V,9430,176,176,0,0,0,0,1802240,25,4,4,16,0
5CEBA2F23C8,1.1V,9430,224,224,0,0,0,0,1802240,25,4,4,16,0
5CEBA2F23C7,1.1V,9430,224,224,0,0,0,0,1802240,25,4,4,16,0
5CEBA2F17I7,1.1V,9430,128,128,0,0,0,0,1802240,25,4,4,16,0
5CEBA2F17C8,1.1V,9430,128,128,0,0,0,0,1802240,25,4,4,16,0
5CEBA2F17C7,1.1V,9430,128,128,0,0,0,0,1802240,25,4,4,16,0
5CEBA2F17C6,1.1V,9430,128,128,0,0,0,0,1802240,25,4,4,16,0
5CEBA2F17A7,1.1V,9430,128,128,0,0,0,0,1802240,25,4,4,16,0
