Name,Core Voltage,ALMs,Total I/Os,GPIOs,GXB Channel PMA,GXB Channel PCS,PCIe Hard IP Blocks,Memory Controllers,Memory Bits,DSP Blocks,Fractional PLLs,DLLs,Global Clocks,HPS CPU Cores
5CSEMA2U23C8,1.1V,9430,314,314,0,0,0,2,1433600,36,5,4,16,2
5CSEMA2U23C7,1.1V,9430,314,314,0,0,0,2,1433600,36,5,4,16,2
5CSEMA2U23C6,1.1V,9430,314,314,0,0,0,2,1433600,36,5,4,16,2
5CSEMA2U23A7,1.1V,9430,314,314,0,0,0,2,1433600,36,5,4,16,2
5CSEBA6U23I7S,1.1V,41910,314,314,0,0,0,1,5662720,112,6,4,16,1
5CSEBA6U23I7L,1.1V,41910,314,314,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U23I7,1.1V,41910,314,314,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U23C8S,1.1V,41910,314,314,0,0,0,1,5662720,112,6,4,16,1
5CSEBA6U23C8,1.1V,41910,314,314,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U23C7S,1.1V,41910,314,314,0,0,0,1,5662720,112,6,4,16,1
5CSEBA6U23C7,1.1V,41910,314,314,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U23C6,1.1V,41910,314,314,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U23A7,1.1V,41910,314,314,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U19I7S,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,1
5CSEBA6U19I7L,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U19I7ES,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U19I7DK,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U19I7,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U19C8S,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,1
5CSEBA6U19C8ES,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U19C8,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U19C7S,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,1
5CSEBA6U19C7,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U19C6,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,2
5CSEBA6U19A7,1.1V,41910,205,205,0,0,0,1,5662720,112,6,4,16,2
5CSEBA5U23I7S,1.1V,32070,314,314,0,0,0,1,4065280,87,6,4,16,1
5CSEBA5U23I7L,1.1V,32070,314,314,0,0,0,1,4065280,87,6,4,16,2
5CSEBA5U23I7,1.1V,32070,314,314,0,0,0,1,4065280,87,6,4,16,2
